route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000076,OCESN12260F3517049:2025-01-28T00:48:51Z,12260,0,90,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000077,OCESN12260F3517050:2025-01-26T00:39:26Z,12260,0,91,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000078,OCESN12260F3517051:2024-12-11T00:26:38Z,12260,0,92,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000079,OCESN12260F3517052:2025-01-21T00:39:14Z,12260,0,93,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000080,OCESN12260F3517053:2024-11-29T10:03:28Z,12260,0,94,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000081,OCESN12260F3517204:2024-11-29T10:03:28Z,12260,0,95,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000082,OCESN12260F3517205:2024-11-29T10:03:28Z,12260,0,96,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000083,OCESN12260F3517499:2024-11-29T10:03:28Z,12260,0,97,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000043,OCESN12260F3824273:2025-01-24T00:40:05Z,12260,0,98,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000047,OCESN12260F3825158:2025-01-21T00:39:14Z,12260,0,99,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000084,OCESN12260F3825159:2025-01-21T00:39:14Z,12260,0,100,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000085,OCESN12260F3825160:2025-01-21T00:39:14Z,12260,0,101,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000086,OCESN12260F3827212:2025-01-21T00:39:14Z,12260,0,102,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000087,OCESN12260F3827213:2025-01-21T00:39:14Z,12260,0,103,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000088,OCESN12260F3827567:2025-01-21T00:39:14Z,12260,0,104,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000034,OCESN12260F3830672:2025-01-21T00:39:14Z,12260,0,105,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000089,OCESN12260F3830673:2025-01-24T00:40:05Z,12260,0,106,
